SKU_number,SoldCount,LowNetPrice,Revenue,Cumulative_Revenue,Cumulative_Percentage,ABC_Category
614579,1.0,4311.15,4311.15,4311.15,0.42356068921763124,A
252016,14.0,253.88,3554.3199999999997,7865.469999999999,0.7727645510410452,A
860747,27.0,103.61,2797.47,10662.939999999999,1.0476096205156973,A
254518,40.0,66.54,2661.6000000000004,13324.539999999999,1.3091057712925545,A
767846,36.0,58.98,2123.2799999999997,15447.82,1.517713205550702,A
111608,1.0,1821.92,1821.92,17269.739999999998,1.6967127047329122,A
545178,12.0,136.27,1635.2400000000002,18904.98,1.857371318197125,A
55769,36.0,44.99,1619.64,20524.62,2.016497267116658,A
665269,73.0,22.17,1618.41,22143.03,2.1755023713317065,A
543807,8.0,187.05,1496.4,23639.43,2.3225202703482712,A
533423,22.0,67.27,1479.9399999999998,25119.37,2.4679210117747448,A
876070,18.0,80.44,1447.92,26567.29,2.6101758609755366,A
299278,2.0,675.0,1350.0,27917.29,2.7428102927266473,A
612322,10.0,134.99,1349.9,29267.190000000002,2.8754348997050365,A
1956567,16.0,81.99,1311.84,30579.030000000002,3.004320198185316,A
146596,6.0,214.66,1287.96,31866.99,3.130859340939509,A
635568,11.0,116.71,1283.81,33150.8,3.2569907556257274,A
608089,27.0,44.99,1214.73,34365.530000000006,3.3763352173153773,A
309757,18.0,66.81,1202.58,35568.11000000001,3.4944859691192667,A
747765,30.0,39.0,1170.0,36738.11000000001,3.6094358099702295,A
610384,18.0,63.99,1151.82,37889.93000000001,3.7225995071402775,A
879775,6.0,186.35,1118.1,39008.030000000006,3.8324502909483646,A
177845,8.0,138.95,1111.6,40119.630000000005,3.941662464529501,A
492149,7.0,153.99,1077.93,41197.560000000005,4.047566637135038,A
642727,1.0,1003.99,1003.99,42201.55,4.146206372789703,A
484052,6.0,166.01,996.06,43197.61,4.24406700396749,A
614093,20.0,49.64,992.8,44190.41,4.341607347554529,A
911625,21.0,46.83,983.43,45173.840000000004,4.438227109937489,A
860358,24.0,40.64,975.36,46149.200000000004,4.534054013161757,A
116253,12.0,79.49,953.8799999999999,47103.08,4.627770555205276,A
243550,34.0,26.87,913.58,48016.66,4.717527713841705,A
892669,1.0,911.63,911.63,48928.29,4.80709328941005,A
643881,4.0,225.5,902.0,49830.29,4.895712739365237,A
717766,9.0,99.89,899.01,50729.3,4.984038428616027,A
626275,2.0,443.07,886.14,51615.44,5.071099669617456,A
601194,8.0,108.99,871.92,52487.36,5.156763827937773,A
560871,14.0,61.22,857.0799999999999,53344.44,5.240969989986101,A
916616,5.0,170.25,851.25,54195.69,5.324603367784719,A
638380,6.0,141.37,848.22,55043.91,5.40793905496985,A
252790,16.0,52.96,847.36,55891.270000000004,5.49119024910957,A
538468,8.0,103.07,824.56,56715.83,5.572201395068603,A
563637,19.0,42.95,816.0500000000001,57531.880000000005,5.65237645286897,A
539283,11.0,73.48,808.2800000000001,58340.16,5.731788125828813,A
742742,6.0,133.99,803.94,59144.100000000006,5.810773403652507,A
51765,7.0,114.7,802.9,59947.00000000001,5.889656503839891,A
526634,17.0,46.82,795.94,60742.94000000001,5.967855799845802,A
