text,label
행사해서 저렴하게 샀어요,0
조작하기가 힘들고 사용하기가 불편함,0
롯데가 보증하는 사각 에어프라이어 매우 만족 합니다 우선 다이얼 방식이 아닌 디지털 LCD로 터치스크린 간편 조작으로 매우 편리하고 대용량으로 한 번에 조리가 가능하며 스테인 레스 강판과 고속 공기 순환 신기술 적용으로 더 이상의 에어프라이어는 없을 것 같습니다 모든 분께 적극 추천 합니다,0
이사 정리도 못 끝냈는데 딜이 떴 다 하여 일단 결제 배송 무지 빨랐어요 엊그제 세척하려고 뜯어보니 내부에 찍힌 곳이 2군데나 있더라구 요 또 제가 산 화이트는 단종되고 화이트2가 나온 대서 기분이 안 좋네용 근데 기존 화이트가 앞면이 메탈이라 이 뻐서 사용하려고 하네요 찍힌 부분은 문의 글 남겼는데 제가 별도로 스마일 배송에 전화해야 된 다 해서 번거롭고 규찮아서 그냥 쓰려구 요이 뿌긴 진짜 이 쁘네요,0
안쪽이 잘 보이면 좋은데 코팅이 찐하네요,0
설 선물로 집에 에어프라이어 사드렸는데 가족 모두 만족하고 있어요,0
저렴해서 잘 샀어요,0
잘 받아서 시험 삼아 감자 튀김을 해보니 만족스럽네 요 소음과 뒷쪽 발열은 상당히 부담스럽네요,0
가격 대비 만족 합니다 배송도 빠르고 좋아요,0
튼튼하고 사용하기 좋습니다,0
친정 엄마께서 매우 만족 하다고 하시네요 지펠 사용하다 고장이 나서 일반 냉장고로 사신다고 해서 주문해 드렸는데 용량도 크고 나이드신 분들이 더 사용 하기 좋다고 하셔서 사드린 보람이 있네요 폐가전도 잘 수거해 주셨다고 하시네요,0
디자인이 너무 이 뻐 요배송도 예정 일자보다 일찍 도 착해서 받자마자 작동되는지 돌려 봤어요,0
생가보다 크고 깔끔해요,0
잘되는 거 같다 필요할 거 같아 샀는데 잘 쓰지는 않는다,0
배송도 엄청 빠르고 물건도 아주 마음에 듭니당,0
아직 잘 모르겠어요 투시창이 미러 형이라 하나도 안 보이네요 조금 보였으면 좋았을 것 같은데요,0
크기도 알맞고 디자인도 예뻐서 맘에 드는 데다 배송까지 빨라요,0
좋습니다다음에 또 구매할께요,0
저렴한 가격에 아주 잘 샀습니다 배송도 좋고요 감사합니다,0
LG 냉장고 B507SEM507L 실물이 훨씬 좋네요가성비 완전 굿입니다 소음도 거의 없구요 잘 쓸께요 많이 파세요,0
빠른 배송에 사진과 동일한 모습에 만족합니다 요리는 장비 빨이라는 데 확인해 봐야 겠네요,0
