Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,64%_BPM,76%_BPM,Intensity,Resting_BPM,Session_Duration (hours),Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Gender,Workout_Type_Cardio,Workout_Type_HIIT,Workout_Type_Strength,Workout_Type_Yoga
34,86.7,1.86,174,152,111.36,132.24,3,74,1.12,712.0,12.8,2.4,5,2,25.06070066,1,0,0,1,0
26,84.7,1.83,166,156,106.24,126.16,3,73,1.0,833.0,27.9,2.8,5,2,25.29188689,1,0,0,1,0
22,64.8,1.85,187,166,119.68,142.12,3,64,1.24,1678.0,28.7,1.9,3,2,18.93352812,0,1,0,0,0
54,75.3,1.82,187,169,119.68,142.12,3,58,1.45,628.0,31.8,2.4,4,1,22.73276174,1,1,0,0,0
34,52.8,1.74,177,169,113.28,134.52,3,66,1.6,1286.0,26.4,3.2,4,2,17.43955608,1,0,0,1,0
38,53.0,1.58,161,128,103.04,122.36,3,74,1.62,953.0,23.4,2.5,2,2,21.23057202,1,0,1,0,0
44,46.5,1.81,191,142,122.24,145.16,2,74,1.46,1238.0,11.9,3.7,2,2,14.19370593,1,1,0,0,0
50,88.5,1.63,181,136,115.84,137.56,2,63,1.63,829.0,11.6,1.8,4,2,33.30949603,1,0,0,1,0
18,82.9,1.54,174,169,111.36,132.24,3,64,0.77,802.0,27.8,2.2,3,1,34.95530444,1,0,1,0,0
34,65.9,1.74,195,169,124.8,148.2,3,73,2.0,1231.0,30.5,3.2,5,2,21.76641564,1,0,0,0,1
39,47.0,1.78,181,155,115.84,137.56,3,55,1.89,747.0,31.7,2.3,3,3,14.83398561,1,0,0,0,1
46,40.0,1.88,168,131,107.52,127.68,3,69,2.0,672.0,25.4,2.4,2,2,11.31733816,0,0,0,1,0
19,87.7,1.98,186,145,119.04,141.36,3,50,1.61,1705.0,14.1,2.3,3,2,22.37016631,0,0,0,1,0
56,107.4,1.73,176,141,112.64,133.76,3,71,0.65,1564.0,26.0,3.0,2,3,35.88492766,1,0,1,0,0
19,71.7,1.91,197,148,126.08,149.72,2,74,1.15,464.0,32.5,2.7,4,2,19.6540665,1,1,0,0,0
30,90.6,1.6,161,125,103.04,122.36,3,52,1.03,1410.0,16.0,3.5,4,2,35.390625,1,0,0,0,1
23,56.2,1.76,195,141,124.8,148.2,2,55,1.45,1195.0,23.9,3.2,4,1,18.14307851,0,0,1,0,0
39,71.3,1.77,171,124,109.44,129.96,2,74,0.69,871.0,21.9,2.1,5,1,22.7584666,1,1,0,0,0
54,47.7,1.56,181,128,115.84,137.56,2,74,1.5,853.0,26.5,1.5,3,1,19.60059172,1,0,0,0,1
32,63.0,1.51,184,169,117.76,139.84,3,71,1.3,1136.0,23.8,2.3,3,2,27.63036709,0,1,0,0,0
26,129.9,1.71,196,136,125.44,148.96,2,74,1.27,931.0,26.6,1.8,5,1,44.42392531,0,0,0,0,1
22,102.4,1.5,173,156,110.72,131.48,3,55,1.44,453.0,17.5,1.6,4,3,45.51111111,1,0,1,0,0
