Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,64%_BPM,76%_BPM,Intensity,Resting_BPM,Session_Duration (hours),Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Gender,Workout_Type
34,86.7,1.86,174,152,111.36,132.24,3,74,1.12,712,12.8,2.4,5,2,25.06070066,Female,Strength
26,84.7,1.83,166,156,106.24,126.16,3,73,1,833,27.9,2.8,5,2,25.29188689,Female,Strength
22,64.8,1.85,187,166,119.68,142.12,3,64,1.24,1678,28.7,1.9,3,2,18.93352812,Male,Cardio
54,75.3,1.82,187,169,119.68,142.12,3,58,1.45,628,31.8,2.4,4,1,22.73276174,Female,Cardio
34,52.8,1.74,177,169,113.28,134.52,3,66,1.6,1286,26.4,3.2,4,2,17.43955608,Female,Strength
38,53,1.58,161,128,103.04,122.36,3,74,1.62,953,23.4,2.5,2,2,21.23057202,Female,HIIT
44,46.5,1.81,191,142,122.24,145.16,2,74,1.46,1238,11.9,3.7,2,2,14.19370593,Female,Cardio
50,88.5,1.63,181,136,115.84,137.56,2,63,1.63,829,11.6,1.8,4,2,33.30949603,Female,Strength
18,82.9,1.54,174,169,111.36,132.24,3,64,0.77,802,27.8,2.2,3,1,34.95530444,Female,HIIT
34,65.9,1.74,195,169,124.8,148.2,3,73,2,1231,30.5,3.2,5,2,21.76641564,Female,Yoga
39,47,1.78,181,155,115.84,137.56,3,55,1.89,747,31.7,2.3,3,3,14.83398561,Female,Yoga
46,40,1.88,168,131,107.52,127.68,3,69,2,672,25.4,2.4,2,2,11.31733816,Male,Strength
19,87.7,1.98,186,145,119.04,141.36,3,50,1.61,1705,14.1,2.3,3,2,22.37016631,Male,Strength
56,107.4,1.73,176,141,112.64,133.76,3,71,0.65,1564,26,3,2,3,35.88492766,Female,HIIT
19,71.7,1.91,197,148,126.08,149.72,2,74,1.15,464,32.5,2.7,4,2,19.6540665,Female,Cardio
30,90.6,1.6,161,125,103.04,122.36,3,52,1.03,1410,16,3.5,4,2,35.390625,Female,Yoga
23,56.2,1.76,195,141,124.8,148.2,2,55,1.45,1195,23.9,3.2,4,1,18.14307851,Male,HIIT
39,71.3,1.77,171,124,109.44,129.96,2,74,0.69,871,21.9,2.1,5,1,22.7584666,Female,Cardio
54,47.7,1.56,181,128,115.84,137.56,2,74,1.5,853,26.5,1.5,3,1,19.60059172,Female,Yoga
32,63,1.51,184,169,117.76,139.84,3,71,1.3,1136,23.8,2.3,3,2,27.63036709,Male,Cardio
26,129.9,1.71,196,136,125.44,148.96,2,74,1.27,931,26.6,1.8,5,1,44.42392531,Male,Yoga
22,102.4,1.5,173,156,110.72,131.48,3,55,1.44,453,17.5,1.6,4,3,45.51111111,Female,HIIT
36,64.2,1.78,192,130,122.88,145.92,2,74,1.38,1708,31.9,2.1,3,1,20.26259311,Female,Yoga
18,129.4,1.5,177,145,113.28,134.52,3,71,1.346,772,22,1.7,5,1,57.51111111,Male,Strength
25,57.2,1.82,184,140,117.76,139.84,3,74,1.15,888,26.9,2.6,4,2,17.26844584,Male,Strength
59,71.8,1.5,165,152,105.6,125.4,3,74,1.94,758,28.9,3.3,3,1,31.91111111,Male,Yoga
18,112.4,1.71,177,165,113.28,134.52,3,55,1.56,1044,33.5,1.7,2,2,38.43917787,Male,HIIT
18,40,1.72,188,155,120.32,142.88,3,74,1.51,1266,26.4,2.5,2,2,13.52082207,Male,Cardio
25,64.3,1.65,183,169,117.12,139.08,3,67,1.28,1783,20,3.2,2,3,23.61799816,Female,Cardio
32,72.4,1.74,189,127,120.96,143.64,2,60,1.4,1090,16.9,1.6,2,1,23.91333069,Male,Yoga
28,62.4,1.56,193,141,123.52,146.68,2,55,2,861,32.2,3.6,3,1,25.64102564,Male,Cardio
27,78.6,1.65,198,127,126.72,150.48,2,66,1.61,938,26.8,3.1,3,1,28.87052342,Female,Yoga
44,45,1.53,199,158,127.36,151.24,3,50,0.7,930,21.9,3.6,4,1,19.22337562,Female,Strength
20,103.4,1.53,180,166,115.2,136.8,3,56,1.28,631,23,3,4,1,44.17104532,Female,HIIT
51,79.2,1.85,178,147,113.92,135.28,3,51,1.52,1355,23.2,2,4,1,23.14097882,Male,Strength
52,40,1.84,182,156,116.48,138.32,3,56,1.2,1258,25,2,4,2,11.8147448,Female,Cardio
35,75.7,1.61,192,147,122.88,145.92,3,52,0.92,1211,21.2,2.4,3,2,29.20412021,Male,Strength
21,76.8,1.75,166,125,106.24,126.16,2,74,1.56,1152,25.1,2.7,3,1,25.07755102,Male,Strength
48,112.6,1.69,160,162,102.4,121.6,3,63,0.89,1482,22.6,2.5,4,2,39.4243899,Female,Cardio
18,73.7,1.78,192,154,122.88,145.92,3,73,1.18,851,27.4,2.6,2,2,23.2609519,Male,Strength
18,84,1.71,194,148,124.16,147.44,3,52,0.92,621,28.3,3.4,3,3,28.72678773,Female,Strength
28,68,1.7,174,155,111.36,132.24,3,68,0.74,1464,17,2.3,3,2,23.52941176,Male,Yoga
23,107.6,1.5,187,136,119.68,142.12,2,71,1.53,1062,10,2.3,5,3,47.82222222,Male,Cardio
30,54.3,1.82,185,168,118.4,140.6,3,66,1.4,1415,25.4,3.6,3,1,16.39294771,Female,Strength
18,42.8,1.89,194,162,124.16,147.44,3,73,2,736,22.5,1.5,3,2,11.98174743,Female,Strength
37,55.4,1.68,197,143,126.08,149.72,2,52,1.04,338,27.4,3.2,3,3,19.62868481,Female,Cardio
49,102.4,1.65,185,148,118.4,140.6,3,68,1.27,980,34.8,2,5,1,37.61248852,Female,Cardio
42,95.5,1.95,168,125,107.52,127.68,2,72,1.91,632,26.1,2,4,1,25.11505588,Female,HIIT
27,58.7,1.98,199,145,127.36,151.24,2,52,2,1119,23,2.7,2,3,14.97296194,Female,Cardio
