고객ID,1개월_혜택,3개월_혜택,6개월_혜택,12개월_혜택
7621845500,6586.666666666667,15000.0,26460.0,39100.0
7855695312,1546.6666666666667,4100.0,6940.0,5080.0
8505815685,3046.666666666667,9060.0,15140.0,21720.0
5791291255,3166.666666666667,2520.0,1420.0,1460.0
6256092938,4066.666666666667,20020.0,44720.0,101080.0
4461195529,546.6666666666667,1880.0,3360.0,4780.0
8080337355,3966.666666666667,14640.0,27180.0,47860.0
7465878805,1586.6666666666667,5020.0,27080.0,38100.0
2932373369,4886.666666666667,16180.0,42700.0,92080.0
5631382687,2506.666666666667,8520.0,19260.0,33680.0
7752409492,1106.6666666666667,2860.0,5740.0,11200.0
6940001651,646.6666666666667,2520.0,3820.0,2860.0
6362525221,3006.666666666667,15420.0,30760.0,47280.0
8793125351,-133.33333333333326,680.0,-300.0,-1980.0
6762284706,426.66666666666674,920.0,2280.0,2000.0
3816039541,1406.6666666666667,3760.0,7100.0,12920.0
5461014112,7626.666666666667,17480.0,22080.0,28380.0
5366617649,-13.333333333333258,-340.0,1240.0,-300.0
4626328704,-173.33333333333326,-1080.0,-3580.0,-6460.0
9529221776,5766.666666666667,6380.0,9940.0,10300.0
8568721944,826.6666666666667,2380.0,5900.0,7300.0
8413019218,1626.6666666666667,2780.0,6960.0,5980.0
9056037739,186.66666666666674,1120.0,2400.0,2960.0
6271020108,3666.666666666667,9540.0,16180.0,28180.0
6295152881,746.6666666666667,3580.0,2120.0,960.0
6945274673,1106.6666666666667,5640.0,10000.0,22860.0
7094671220,10026.666666666666,20520.0,24600.0,25860.0
7810856974,266.66666666666674,3000.0,4480.0,11260.0
7546081773,1306.6666666666667,6960.0,11220.0,19740.0
7665877423,6.6666666666667425,-800.0,-140.0,-3440.0
7570195043,66.66666666666674,-340.0,-400.0,-4920.0
7177240945,1526.6666666666667,520.0,-820.0,-5020.0
7278719052,546.6666666666667,1920.0,6800.0,6440.0
4425783847,946.6666666666667,-80.0,860.0,1300.0
4255672826,1946.6666666666667,1960.0,2960.0,3460.0
8739633096,2246.666666666667,17340.0,16480.0,25340.0
9672598957,4006.666666666667,10340.0,23860.0,37300.0
8020065757,2726.666666666667,6040.0,12280.0,13160.0
5011155483,906.6666666666667,2520.0,5520.0,10780.0
5830100588,1426.6666666666667,1940.0,2500.0,4240.0
8835065846,966.6666666666667,1120.0,6360.0,11600.0
8701901253,126.66666666666674,0.0,-200.0,-1580.0
9946021621,766.6666666666667,5100.0,12100.0,18540.0
9811546809,6686.666666666667,14980.0,26980.0,50480.0
9382146631,3866.666666666667,10080.0,14840.0,24460.0
7653326646,1426.6666666666667,5120.0,9060.0,15720.0
8154783625,766.6666666666667,2120.0,2180.0,1620.0
6429371976,1406.6666666666667,4600.0,12220.0,22680.0
7012641827,3166.666666666667,9460.0,16680.0,35340.0
7071626237,1546.6666666666667,5240.0,9460.0,10760.0
4333503950,866.6666666666667,1200.0,1260.0,20.0
6327114306,546.6666666666667,680.0,-400.0,460.0
4996233021,3306.666666666667,11620.0,19820.0,26780.0
4920984427,9286.666666666666,19540.0,28800.0,47140.0
8275892009,2366.666666666667,7760.0,14940.0,25480.0
7411087997,626.6666666666667,1400.0,3480.0,12540.0
3840944086,2406.666666666667,11180.0,26620.0,30560.0
7054308624,3346.666666666667,7320.0,9560.0,5080.0
5187850978,-53.33333333333326,-960.0,-1280.0,-900.0
9328925714,1426.6666666666667,1680.0,-360.0,-140.0
7978896445,566.6666666666667,6460.0,13600.0,19600.0
7452257010,-33.33333333333326,360.0,960.0,880.0
6925587749,386.66666666666674,960.0,2720.0,6260.0
6830190700,1406.6666666666667,2680.0,12960.0,18540.0
8945674725,-193.33333333333326,-960.0,-1560.0,-2380.0
9077801474,3986.666666666667,13640.0,31660.0,42920.0
5195959887,1006.6666666666667,2860.0,5300.0,8920.0
5668087186,246.66666666666674,1200.0,1800.0,2180.0
4230230100,1446.6666666666667,2820.0,5880.0,25760.0
5507667443,2326.666666666667,5820.0,5800.0,800.0
5206713305,1846.6666666666667,8800.0,6300.0,1660.0
8890884195,3066.666666666667,11400.0,26620.0,46560.0
6378762665,2166.666666666667,3700.0,6140.0,9040.0
6509834944,3946.666666666667,21720.0,19220.0,17920.0
7531670691,366.66666666666674,1940.0,4380.0,3240.0
8146419490,5366.666666666667,12440.0,20240.0,34840.0
2583978049,726.6666666666667,1120.0,1380.0,60.0
4089722893,1606.6666666666667,3120.0,4200.0,4840.0
4027592792,3726.666666666667,9980.0,19780.0,37260.0
3106933896,686.6666666666667,2640.0,12340.0,13940.0
5185487347,3606.666666666667,10600.0,17960.0,33940.0
5561648943,4106.666666666667,9460.0,16620.0,31960.0
5752236735,2186.666666666667,5340.0,10080.0,19140.0
3772013408,746.6666666666667,3280.0,11460.0,11900.0
7244631231,1726.6666666666667,2460.0,2040.0,10440.0
9365620282,446.66666666666674,3760.0,6920.0,11740.0
9525032018,3986.666666666667,7240.0,20900.0,43980.0
9532344822,386.66666666666674,1920.0,5260.0,14880.0
9046601141,39166.666666666664,72400.0,131260.0,201660.0
9839582555,4926.666666666667,10000.0,22200.0,33300.0
8142455487,826.6666666666667,6160.0,13840.0,20740.0
7320117304,4626.666666666667,12420.0,27540.0,41960.0
3293322595,2046.6666666666667,4460.0,1960.0,-2000.0
9444029805,2726.666666666667,3240.0,8000.0,4780.0
9057890121,2506.666666666667,8120.0,19540.0,31500.0
8214025806,1486.6666666666667,2460.0,4080.0,6000.0
9892555791,10606.666666666666,30820.0,50420.0,87040.0
8357690866,946.6666666666667,4920.0,8200.0,14960.0
9303239112,126.66666666666674,540.0,-680.0,220.0
7556846471,1386.6666666666667,2480.0,7000.0,9140.0
9061552866,3546.666666666667,7240.0,12500.0,23040.0
8543022913,686.6666666666667,2120.0,-380.0,-5340.0
9266017512,2046.6666666666667,2340.0,-160.0,-3800.0
9506915063,5146.666666666667,11960.0,21260.0,30600.0
7410037684,746.6666666666667,2540.0,6420.0,11840.0
7491836817,1366.6666666666667,3560.0,10580.0,17880.0
5242112463,3746.666666666667,13480.0,22180.0,34500.0
4276113468,1726.6666666666667,3080.0,3860.0,1120.0
8733353779,986.6666666666667,10280.0,20880.0,46940.0
9236384463,206.66666666666674,2840.0,6500.0,11920.0
9301422548,1226.6666666666667,4420.0,5460.0,6420.0
5819876413,566.6666666666667,2200.0,6980.0,14660.0
9412043203,566.6666666666667,2340.0,6760.0,12760.0
7384620635,1526.6666666666667,2260.0,3500.0,8720.0
7835497496,326.66666666666674,3460.0,7260.0,10420.0
8190963176,2426.666666666667,4700.0,10620.0,18400.0
6730049901,1546.6666666666667,3080.0,580.0,-4420.0
6143086856,106.66666666666674,3640.0,11240.0,16060.0
9279653220,5366.666666666667,12220.0,20520.0,33200.0
8701888890,1986.6666666666667,6200.0,6120.0,1820.0
8514718735,1106.6666666666667,3260.0,8360.0,17640.0
9490685687,146.66666666666674,1280.0,4600.0,4920.0
9479418911,5146.666666666667,22320.0,58860.0,115880.0
9462620736,986.6666666666667,2460.0,5140.0,10320.0
9451083130,246.66666666666674,440.0,-1920.0,-5300.0
9384785000,786.6666666666667,2740.0,11200.0,28100.0
9563030199,1406.6666666666667,2900.0,9180.0,15160.0
5483274613,2866.666666666667,7920.0,16760.0,32560.0
5274874374,326.66666666666674,1900.0,3360.0,4780.0
7535865151,1246.6666666666667,3820.0,7020.0,10320.0
7361285819,1006.6666666666667,2960.0,6180.0,15420.0
7390656566,526.6666666666667,2480.0,5420.0,12000.0
7221030176,766.6666666666667,860.0,3300.0,1280.0
8188362422,-13.333333333333258,2040.0,660.0,-600.0
8152703767,66.66666666666674,5020.0,20260.0,22460.0
7962892412,466.66666666666674,1880.0,4300.0,4320.0
7919374501,5566.666666666667,22380.0,42900.0,78840.0
7807453293,2186.666666666667,4140.0,7260.0,14720.0
7743486751,1246.6666666666667,960.0,1480.0,-260.0
7718043683,66.66666666666674,-560.0,-1140.0,-3940.0
6710364769,-153.33333333333326,-240.0,-160.0,580.0
7115899068,746.6666666666667,1280.0,1940.0,2340.0
6116627978,1286.6666666666667,5500.0,10380.0,23540.0
6365118475,1606.6666666666667,2180.0,720.0,-560.0
4498416856,966.6666666666667,3540.0,8160.0,14400.0
4582809976,6926.666666666667,15160.0,16100.0,17480.0
7230488492,7586.666666666667,14040.0,26300.0,44220.0
9343091958,1946.6666666666667,7000.0,18440.0,30340.0
7745324764,1746.6666666666667,5700.0,10840.0,15700.0
8173929747,1206.6666666666667,4560.0,10880.0,19080.0
7989641383,1706.6666666666667,2840.0,6340.0,15080.0
5950674198,526.6666666666667,1600.0,5100.0,6000.0
5596544493,286.66666666666674,320.0,9960.0,14180.0
9476773490,46.66666666666674,-380.0,-1860.0,-5880.0
8852104566,786.6666666666667,700.0,460.0,26080.0
9238226254,446.66666666666674,240.0,-1080.0,-620.0
8325962025,2106.666666666667,1800.0,1200.0,5160.0
3856431880,746.6666666666667,2100.0,3700.0,5420.0
3995871808,6226.666666666667,10400.0,11460.0,20440.0
8352188801,3126.666666666667,5320.0,12020.0,15500.0
8971116204,406.66666666666674,820.0,1700.0,120.0
5311585071,866.6666666666667,1480.0,-440.0,-820.0
6612081233,746.6666666666667,2060.0,12780.0,16920.0
7044103414,1966.6666666666667,3760.0,8120.0,16640.0
6323442427,2186.666666666667,5440.0,8640.0,9120.0
8000398994,2506.666666666667,8500.0,13140.0,17660.0
7886623973,6286.666666666667,13360.0,25500.0,41540.0
3810281420,806.6666666666667,2000.0,3760.0,5380.0
4890821968,-13.333333333333258,2040.0,780.0,940.0
8072728831,1586.6666666666667,3760.0,12760.0,21000.0
8858384728,3926.666666666667,10500.0,25040.0,53120.0
5351672529,2446.666666666667,5040.0,12280.0,26300.0
4577054974,3746.666666666667,12220.0,20240.0,31780.0
7070052040,3726.666666666667,7120.0,9420.0,15780.0
7867491811,186.66666666666674,2080.0,680.0,-4320.0
8714223001,46.66666666666674,800.0,2560.0,6540.0
5266227793,-33.33333333333326,-20.0,-180.0,-1660.0
7214759048,266.66666666666674,760.0,-1740.0,-5360.0
6418072343,2446.666666666667,8360.0,20440.0,35900.0
6582459305,9426.666666666666,19800.0,34960.0,56040.0
3569627232,2406.666666666667,4620.0,8560.0,13100.0
8179956909,3406.666666666667,5380.0,13220.0,14440.0
9832520462,206.66666666666674,1000.0,3620.0,4240.0
5918957015,14266.666666666666,42740.0,90860.0,149860.0
7416074708,-73.33333333333326,-260.0,-360.0,-2900.0
4760021317,1026.6666666666667,3420.0,6540.0,3480.0
7800637936,7366.666666666667,13980.0,31600.0,52040.0
5412498378,15766.666666666666,31660.0,61660.0,95520.0
9291962872,106.66666666666674,-760.0,-1280.0,-4380.0
5802299921,1986.6666666666667,16260.0,26720.0,39720.0
6454518096,1806.6666666666667,3820.0,6120.0,9500.0
7750032963,1006.6666666666667,2040.0,3480.0,8660.0
7891073607,3086.666666666667,3220.0,720.0,-4280.0
