고객ID,1개월_마일리지,1개월_혜택,3개월_마일리지,3개월_혜택,6개월_마일리지,6개월_혜택,12개월_마일리지,12개월_혜택
7621845500,3710,71283.33333333333,8750,166250.0,15730,297100.0,24550,456000.0
7855695312,1190,20883.333333333332,3300,57250.0,5970,101900.0,7540,115800.0
8505815685,1940,35883.333333333336,5780,106850.0,10070,183900.0,15860,282200.0
5791291255,2000,37083.333333333336,2510,41450.0,3210,46700.0,5730,79600.0
6256092938,2450,46083.333333333336,11260,216450.0,24860,479700.0,55050,1066000.0
4461195529,690,10883.333333333334,2190,35050.0,4180,66100.0,7390,112800.0
8080337355,2400,45083.333333333336,8570,162650.0,16090,304300.0,28930,543600.0
7465878805,1210,21283.333333333332,3760,66450.0,6300,108500.0,12320,211400.0
2932373369,2860,54283.333333333336,9340,178050.0,23850,459500.0,51040,985800.0
5631382687,1670,30483.333333333332,5510,101450.0,12130,225100.0,21840,401800.0
7752409492,970,16483.333333333332,2680,44850.0,5370,89900.0,10600,177000.0
6940001651,740,11883.333333333334,2510,41450.0,4410,70700.0,6430,93600.0
6362525221,1920,35483.333333333336,8960,170450.0,17880,340100.0,28640,537800.0
8793125351,350,4083.3333333333335,1590,23050.0,2350,29500.0,4010,45200.0
6762284706,630,9683.333333333334,1710,25450.0,3640,55300.0,6000,85000.0
3816039541,1120,19483.333333333332,3130,53850.0,6050,103500.0,11460,194200.0
5461014112,3740,71883.33333333333,9500,181250.0,13050,243500.0,18700,339000.0
5366617649,410,5283.333333333334,1080,12850.0,3120,44900.0,4850,62000.0
4626328704,330,3683.3333333333335,710,5450.0,710,-3300.0,1770,400.0
9529221776,860,14283.333333333334,2000,31250.0,5030,83100.0,7710,119200.0
8568721944,830,13683.333333333334,2440,40050.0,5450,91500.0,8650,138000.0
8413019218,1230,21683.333333333332,2640,44050.0,5980,102100.0,7990,124800.0
9056037739,510,7283.333333333334,1810,27450.0,3700,56500.0,6480,94600.0
6271020108,2250,42083.333333333336,6020,111650.0,10590,194300.0,19090,346800.0
6295152881,790,12883.333333333334,3040,52050.0,3560,53700.0,5480,74600.0
6945274673,970,16483.333333333332,4070,72650.0,7500,132500.0,16430,293600.0
7094671220,5430,105683.33333333333,11510,221450.0,14800,278500.0,17930,323600.0
7810856974,550,8083.333333333334,2750,46250.0,4740,77300.0,10630,177600.0
7546081773,1070,18483.333333333332,4730,85850.0,8110,144700.0,14870,262400.0
7665877423,420,5483.333333333334,850,8250.0,2430,31100.0,3280,30600.0
7570195043,450,6083.333333333334,1080,12850.0,2300,28500.0,2540,15800.0
7177240945,1180,20683.333333333332,1510,21450.0,2090,24300.0,2490,14800.0
