고객ID,iM_Pet_Love_최근1개월혜택,iM_Pet_Love_최근3개월혜택,iM_Pet_Love_최근6개월혜택,iM_Pet_Love_최근12개월혜택
2323689202,-166.66666666666666,-500.0,-1000.0,-2000.0
2351744256,-166.66666666666666,-500.0,-1000.0,-2000.0
2364078941,4033.3333333333335,23900.0,55920.0,89462.85714285714
2365911085,1833.3333333333333,3000.0,8000.0,13000.0
2378229875,3833.3333333333335,3500.0,3000.0,2000.0
2436947037,-166.66666666666666,-500.0,-1000.0,-2000.0
2451087222,4333.333333333333,10500.0,24000.0,71000.0
2456346254,833.3333333333334,500.0,0.0,500.0
2461304994,1333.3333333333333,1000.0,500.0,4500.0
2473390724,-166.66666666666666,0.0,3000.0,2000.0
2474676081,10333.333333333334,15000.0,40500.0,92500.0
2475746096,-166.66666666666666,-500.0,-1000.0,-2000.0
2506162545,1833.3333333333333,1500.0,7000.0,10500.0
2514787934,-166.66666666666666,-500.0,-1000.0,-2000.0
2531053981,-166.66666666666666,-500.0,-1000.0,-2000.0
2541261259,-166.66666666666666,-500.0,30600.0,84600.0
2570901798,1333.3333333333333,1500.0,1500.0,7000.0
2586895764,-166.66666666666666,-500.0,500.0,2000.0
2612314757,-166.66666666666666,-500.0,-1000.0,1000.0
2619381071,-166.66666666666666,-500.0,-1000.0,-2000.0
2623860008,4833.333333333333,25500.0,33000.0,38000.0
2625162801,-166.66666666666666,-500.0,2000.0,1000.0
2628057656,-166.66666666666666,-500.0,-1000.0,3500.0
2644569886,-166.66666666666666,-500.0,-1000.0,-2000.0
2651371333,7833.333333333333,14500.0,24000.0,62500.0
2663447634,3833.3333333333335,22500.0,22000.0,31500.0
2668140198,1833.3333333333333,1500.0,6000.0,12500.0
2692257232,-166.66666666666666,-500.0,-1000.0,-2000.0
2698043019,21833.333333333332,44700.0,59200.0,167600.0
2707470334,333.33333333333337,9500.0,15000.0,66500.0
2714799669,-166.66666666666666,-500.0,-1000.0,-2000.0
2723978354,833.3333333333334,500.0,1000.0,0.0
2733428730,6333.333333333333,16500.0,58500.0,103500.0
2738660997,-166.66666666666666,-500.0,-1000.0,-2000.0
2743394111,-166.66666666666666,2000.0,14500.0,28500.0
2751263834,-166.66666666666666,2500.0,16000.0,38500.0
2760154455,-166.66666666666666,2500.0,7800.0,8800.0
2763306581,-166.66666666666666,-500.0,-1000.0,-2000.0
2770917636,-166.66666666666666,-500.0,-1000.0,-2000.0
2780085576,-166.66666666666666,-500.0,-1000.0,8000.0
