고객ID,단디_최근1개월혜택,단디_최근3개월혜택,단디_최근6개월혜택,단디_최근12개월혜택
2323689202,1970.0,16160.0,34810.0,36070.0
2351744256,5160.0,19370.0,35130.0,34780.0
2364078941,5500.0,26500.0,61030.0,75860.0
2365911085,2620.0,8660.0,29730.0,44130.0
2378229875,5310.0,16920.0,27360.0,28560.0
2436947037,1200.0,5330.0,7330.0,13990.0
2451087222,10310.0,45320.0,86290.0,156950.0
2456346254,13180.0,28920.0,66780.0,76100.0
2461304994,-1000.0,1960.0,-1040.0,2100.0
2473390724,1740.0,7080.0,20360.0,29070.0
2474676081,15620.0,39380.0,84560.0,159780.0
2475746096,7800.0,22000.0,32200.0,32000.0
2506162545,11210.0,35580.0,70110.0,118560.0
2514787934,4130.0,8430.0,20660.0,21640.0
2531053981,3140.0,4170.0,14330.0,14860.0
2541261259,5800.0,16000.0,52390.0,142560.0
2570901798,14010.0,22830.0,44610.0,83370.0
2586895764,8950.0,12510.0,67050.0,115990.0
2612314757,-1000.0,-3000.0,-6000.0,3550.0
2619381071,0.0,6000.0,18740.0,51280.0
2623860008,1000.0,17770.0,26370.0,67580.0
2625162801,7390.0,23590.0,54100.0,113700.0
2628057656,7280.0,13840.0,15840.0,55530.0
2644569886,2000.0,2670.0,21960.0,27300.0
2651371333,6000.0,17800.0,32600.0,100740.0
2663447634,9470.0,33630.0,57070.0,110410.0
2668140198,8590.0,13390.0,26740.0,33240.0
2692257232,2240.0,5250.0,10980.0,13200.0
2698043019,6410.0,21750.0,29920.0,71850.0
2707470334,12880.0,51720.0,88380.0,147530.0
2714799669,1920.0,21680.0,41230.0,96740.0
2723978354,9430.0,34320.0,57890.0,92540.0
2733428730,20600.0,54740.0,134980.0,210700.0
2738660997,-1000.0,-3000.0,-6000.0,-12000.0
2743394111,0.0,5500.0,11500.0,47890.0
2751263834,22610.0,48810.0,61930.0,137520.0
2760154455,4770.0,20420.0,37660.0,87040.0
2763306581,980.0,16380.0,43100.0,78590.0
2770917636,18320.0,28470.0,28660.0,27130.0
2780085576,4000.0,14400.0,29800.0,39800.0
2793704708,-1000.0,11710.0,20210.0,16210.0
2794511592,8730.0,75640.0,77840.0,151760.0
2795020145,6000.0,11000.0,30500.0,45430.0
2796599758,770.0,1380.0,12340.0,6840.0
2798426586,5720.0,19790.0,53810.0,89430.0
2799744889,12610.0,33880.0,55880.0,109880.0
2807886990,18250.0,43970.0,129410.0,259020.0
2813381569,3200.0,9170.0,17890.0,21700.0
2813655066,12640.0,30120.0,38500.0,65540.0
2813919750,6430.0,31820.0,69060.0,107140.0
2816515187,-1000.0,1100.0,6660.0,24280.0
2818633355,3100.0,10900.0,19900.0,26800.0
2822549102,16600.0,37310.0,64590.0,104480.0
2822809519,9780.0,26850.0,52460.0,118430.0
2823080994,-1000.0,-1470.0,4860.0,5730.0
2830692412,16040.0,31300.0,224450.0,285560.0
2858208832,3000.0,13050.0,33600.0,41300.0
2859003216,5010.0,14530.0,33950.0,78310.0
2861096433,10800.0,31470.0,64090.0,122710.0
2867129402,10880.0,24860.0,52450.0,101050.0
2867130827,4010.0,10430.0,11430.0,15430.0
2870015241,7000.0,26880.0,53480.0,91680.0
2871059023,13010.0,37800.0,67930.0,143250.0
2874449557,16030.0,41560.0,79840.0,171520.0
2886502032,2150.0,4530.0,13200.0,61470.0
2888877023,18790.0,91660.0,335360.0,568310.0
2893329792,3420.0,26530.0,43170.0,112870.0
2893340453,6040.0,11740.0,34150.0,63750.0
2896742157,-1000.0,-3000.0,-2000.0,27110.0
2905116552,12230.0,22490.0,44860.0,78260.0
2909570234,3000.0,3650.0,6970.0,27110.0
2930826196,10160.0,25840.0,47550.0,96430.0
2932128966,2860.0,5140.0,3140.0,-2860.0
2950739031,1130.0,2370.0,5700.0,10520.0
2950741606,12800.0,37930.0,62090.0,83710.0
2954930431,1000.0,7060.0,14710.0,20710.0
2962811773,24450.0,54190.0,105910.0,196090.0
2973302211,10040.0,25180.0,40850.0,37350.0
2975120021,14510.0,58890.0,110270.0,236250.0
2980351676,4920.0,6450.0,18070.0,19600.0
2998436898,5000.0,18200.0,51490.0,89180.0
3009730245,10500.0,26180.0,59520.0,102980.0
3013395125,2370.0,7380.0,16560.0,36500.0
3015234538,21160.0,26660.0,48660.0,86720.0
3021767471,9750.0,29010.0,37440.0,31440.0
3023625609,13600.0,30960.0,52410.0,100500.0
3038309410,14730.0,25710.0,66960.0,91120.0
3042494262,11690.0,32560.0,72750.0,131510.0
3047752207,-1000.0,-3000.0,-6000.0,-12000.0
3048510478,6190.0,14390.0,26550.0,64190.0
3062400050,9280.0,17550.0,32010.0,42680.0
3064259975,0.0,10210.0,16190.0,43970.0
3065821235,3630.0,15770.0,14810.0,24000.0
3069761002,16000.0,30530.0,66510.0,131680.0
3083136516,1190.0,3750.0,3940.0,8990.0
3090989156,2150.0,5400.0,4590.0,7620.0
3092828307,4530.0,11140.0,13870.0,35020.0
3094925830,-1000.0,-1170.0,-2670.0,-6420.0
3096745133,650.0,3090.0,2580.0,-1920.0
3115116651,14660.0,39030.0,83420.0,169860.0
3118249180,17900.0,39800.0,88100.0,164800.0
3118790462,5230.0,10640.0,22450.0,31550.0
3133720861,12240.0,44080.0,88160.0,147560.0
3142907212,2000.0,4710.0,22060.0,42840.0
3153124663,9000.0,37440.0,105040.0,324080.0
3176695315,5770.0,18460.0,39410.0,103050.0
3179322998,14000.0,22580.0,19580.0,51130.0
3182231520,14150.0,39480.0,66930.0,78930.0
3182987905,6910.0,29180.0,52200.0,99370.0
3185616212,7740.0,23010.0,45040.0,96740.0
3196107275,22760.0,80610.0,150520.0,277610.0
3197156094,20670.0,50150.0,88820.0,147090.0
3200557449,7160.0,11310.0,29240.0,60410.0
3201343370,41060.0,128420.0,241850.0,337940.0
