고객ID,대백-iM뱅크_최근1개월혜택,대백-iM뱅크_최근3개월혜택,대백-iM뱅크_최근6개월혜택,대백-iM뱅크_최근12개월혜택
2323689202,6633.333333333333,17500.0,33800.0,44400.0
2351744256,-166.66666666666666,-500.0,-1000.0,-2000.0
2364078941,4333.333333333333,14000.0,18700.0,21700.0
2365911085,-166.66666666666666,3500.0,25000.0,40000.0
2378229875,-166.66666666666666,4300.0,3800.0,2800.0
2436947037,233.33333333333334,5500.0,5000.0,7200.0
2451087222,8333.333333333334,71500.0,108200.0,149300.0
2456346254,11233.333333333334,33900.0,44400.0,45000.0
2461304994,-166.66666666666666,-500.0,-1000.0,-2000.0
2473390724,6233.333333333333,13900.0,30600.0,33600.0
2474676081,15133.333333333334,21300.0,28300.0,44300.0
2475746096,-166.66666666666666,-500.0,4700.0,6100.0
2506162545,4233.333333333333,17900.0,37100.0,86800.0
2514787934,-166.66666666666666,-500.0,2500.0,1500.0
2531053981,3833.3333333333335,3500.0,13500.0,14500.0
2541261259,8633.333333333334,109900.0,179700.0,364500.0
2570901798,1033.3333333333333,3100.0,6200.0,20200.0
2586895764,9833.333333333334,15500.0,31000.0,65600.0
2612314757,-166.66666666666666,-500.0,-1000.0,6500.0
2619381071,-166.66666666666666,-500.0,-1000.0,7500.0
2623860008,1833.3333333333333,3500.0,3600.0,11100.0
2625162801,-166.66666666666666,500.0,0.0,9100.0
2628057656,-166.66666666666666,-500.0,-1000.0,-2000.0
2644569886,-166.66666666666666,9900.0,36200.0,52400.0
2651371333,11333.333333333334,11300.0,26300.0,29300.0
2663447634,-166.66666666666666,-500.0,-1000.0,400.0
2668140198,-166.66666666666666,-500.0,-1000.0,-1600.0
2692257232,3833.3333333333335,14300.0,25800.0,36800.0
2698043019,3833.3333333333335,12500.0,12000.0,25800.0
2707470334,2333.3333333333335,6000.0,10000.0,13000.0
2714799669,-166.66666666666666,-500.0,-100.0,10300.0
2723978354,1033.3333333333333,3100.0,11200.0,17400.0
2733428730,13233.333333333334,20100.0,58500.0,108100.0
2738660997,-166.66666666666666,-500.0,-1000.0,-2000.0
2743394111,-166.66666666666666,-500.0,-1000.0,12000.0
2751263834,10933.333333333334,18000.0,27700.0,50700.0
2760154455,-166.66666666666666,1500.0,2700.0,4800.0
2763306581,-166.66666666666666,-500.0,3500.0,2500.0
2770917636,-166.66666666666666,4500.0,4000.0,3000.0
2780085576,-166.66666666666666,1900.0,3800.0,2800.0
2793704708,-166.66666666666666,1500.0,1000.0,0.0
2794511592,4633.333333333333,25500.0,25000.0,61600.0
2795020145,-166.66666666666666,1500.0,5000.0,6500.0
2796599758,-166.66666666666666,-500.0,-1000.0,-2000.0
2798426586,3333.3333333333335,5500.0,10000.0,70500.0
2799744889,833.3333333333334,3000.0,4500.0,8400.0
2807886990,1933.3333333333333,6600.0,33200.0,83706.66666666666
2813381569,2233.3333333333335,8900.0,12400.0,11400.0
2813655066,7033.333333333333,6700.0,6200.0,10000.0
2813919750,733.3333333333334,1000.0,11000.0,10600.0
2816515187,-166.66666666666666,-500.0,1500.0,4000.0
2818633355,133.33333333333334,1600.0,4100.0,5100.0
2822549102,4733.333333333333,6400.0,24700.0,39600.0
2822809519,3033.3333333333335,4700.0,12500.0,31100.0
2823080994,-166.66666666666666,-500.0,-1000.0,-500.0
