고객ID,어디로든그린_최근1개월혜택,어디로든그린_최근3개월혜택,어디로든그린_최근6개월혜택,어디로든그린_최근12개월혜택
2323689202,5730.0,7830.0,12320.0,8920.0
2351744256,1270.0,4130.0,11360.0,6980.0
2364078941,2930.0,5390.0,14940.0,20400.0
2365911085,-90.0,1830.0,6980.0,9320.0
2378229875,2310.0,7650.0,14860.0,12160.0
2436947037,2970.0,2670.0,-1080.0,-5960.0
2451087222,3450.0,17270.0,28080.0,56120.0
2456346254,2550.0,6890.0,20140.0,20260.0
2461304994,-490.0,4670.0,920.0,5440.0
2473390724,330.0,3390.0,5340.0,3840.0
2474676081,6490.0,11370.0,19820.0,34380.0
2475746096,-490.0,-890.0,-1660.0,-8440.0
2506162545,1110.0,8630.0,15540.0,20300.0
2514787934,3170.0,4870.0,8040.0,3880.0
2531053981,1510.0,1970.0,2940.0,-1460.0
2541261259,110.0,4990.0,12120.0,42900.0
2570901798,3650.0,3710.0,7660.0,14100.0
2586895764,2270.0,6910.0,36000.0,45320.0
2612314757,-490.0,-1470.0,-2940.0,-2440.0
2619381071,-550.0,-1530.0,-3920.0,-200.0
2623860008,-350.0,910.0,-1720.0,2520.0
2625162801,5110.0,8710.0,12400.0,11020.0
2628057656,390.0,710.0,-620.0,1520.0
2644569886,-350.0,-310.0,1280.0,-1780.0
2651371333,270.0,5750.0,6200.0,11600.0
2663447634,1930.0,6790.0,16140.0,25020.0
2668140198,5890.0,7490.0,7740.0,9320.0
2692257232,910.0,1750.0,3820.0,3320.0
2698043019,1750.0,12670.0,16840.0,33240.0
2707470334,4890.0,17830.0,33880.0,63380.0
2714799669,50.0,1750.0,11340.0,21360.0
2723978354,3710.0,7370.0,14960.0,40240.0
2733428730,4210.0,7950.0,15260.0,26680.0
2738660997,-570.0,-1790.0,-4320.0,-11820.0
2743394111,-350.0,-1230.0,-1900.0,9040.0
2751263834,7990.0,11570.0,15560.0,24340.0
2760154455,10.0,870.0,2160.0,4340.0
2763306581,70.0,410.0,1340.0,-2380.0
2770917636,9690.0,14990.0,13540.0,10580.0
2780085576,1050.0,490.0,-560.0,-4960.0
2793704708,3510.0,3090.0,1100.0,-6400.0
2794511592,850.0,27790.0,24040.0,47220.0
2795020145,-170.0,-930.0,-2060.0,-500.0
2796599758,-70.0,-130.0,2880.0,-3740.0
2798426586,370.0,1150.0,8860.0,10020.0
2799744889,770.0,930.0,8100.0,10720.0
2807886990,4750.0,12290.0,33520.0,66840.0
2813381569,70.0,1130.0,2060.0,1100.0
2813655066,6610.0,16450.0,20640.0,29600.0
2813919750,-70.0,5630.0,15900.0,16160.0
2816515187,-490.0,-570.0,-920.0,900.0
2818633355,10.0,-930.0,-2920.0,1260.0
2822549102,3190.0,8290.0,11880.0,15980.0
2822809519,710.0,3950.0,10560.0,15140.0
2823080994,-1250.0,2270.0,19740.0,25880.0
2830692412,6590.0,7970.0,14580.0,21060.0
2858208832,-610.0,-470.0,-1120.0,-5660.0
2859003216,2110.0,5810.0,13480.0,28600.0
2861096433,970.0,3570.0,7960.0,22480.0
2867129402,3790.0,4930.0,7880.0,14680.0
2867130827,210.0,50.0,-820.0,-5320.0
2870015241,70.0,2770.0,4200.0,660.0
2871059023,2270.0,6030.0,11260.0,22440.0
2874449557,2730.0,6390.0,14820.0,27840.0
2886502032,850.0,1270.0,5300.0,33980.0
2888877023,23210.0,62030.0,126100.0,178820.0
2893329792,1050.0,2750.0,5360.0,18520.0
2893340453,470.0,1090.0,10840.0,25920.0
2896742157,-470.0,-1650.0,-3940.0,1040.0
2905116552,3750.0,5490.0,6720.0,10700.0
2909570234,-230.0,370.0,2380.0,7020.0
2930826196,4230.0,11910.0,19480.0,32940.0
2932128966,70.0,-170.0,-3260.0,-10760.0
2950739031,170.0,-170.0,1280.0,4520.0
2950741606,710.0,6010.0,9940.0,16860.0
2954930431,-270.0,570.0,840.0,-2540.0
2962811773,8470.0,19110.0,42200.0,69780.0
2973302211,450.0,2190.0,2920.0,-2720.0
2975120021,2650.0,11870.0,21940.0,47780.0
2980351676,190.0,-290.0,380.0,-4620.0
2998436898,670.0,30.0,6580.0,14080.0
3009730245,-390.0,3750.0,7380.0,17300.0
3013395125,350.0,2230.0,14660.0,27100.0
3015234538,9170.0,8530.0,7160.0,6400.0
3021767471,3450.0,10130.0,19000.0,11500.0
3023625609,5450.0,6430.0,8780.0,12740.0
3038309410,6690.0,17710.0,35280.0,39200.0
3042494262,6430.0,17170.0,27680.0,49700.0
3047752207,-630.0,-1890.0,-3780.0,-7880.0
3048510478,370.0,1510.0,1480.0,4340.0
3062400050,430.0,7110.0,9200.0,5500.0
3064259975,-510.0,-990.0,-2500.0,-380.0
3065821235,1190.0,2550.0,1860.0,60.0
3069761002,2250.0,6690.0,9640.0,20180.0
3083136516,210.0,750.0,-520.0,80.0
3090989156,850.0,1850.0,520.0,-960.0
3092828307,1430.0,3590.0,2920.0,4940.0
3094925830,-430.0,-1110.0,-3000.0,-9000.0
3096745133,-150.0,310.0,-1780.0,-9280.0
3115116651,6530.0,22490.0,53560.0,88720.0
3118249180,-50.0,-530.0,3820.0,8940.0
3118790462,1670.0,4110.0,7520.0,7620.0
3133720861,1890.0,4710.0,12360.0,24960.0
3142907212,-270.0,210.0,2620.0,8960.0
3153124663,-70.0,6130.0,36420.0,159440.0
3176695315,1070.0,16270.0,24320.0,40320.0
3179322998,10650.0,18490.0,14740.0,31280.0
3182231520,1410.0,7570.0,11220.0,11140.0
3182987905,2730.0,7750.0,15280.0,28140.0
3185616212,1570.0,5090.0,6800.0,7420.0
3196107275,10450.0,35610.0,66520.0,112360.0
3197156094,12890.0,19630.0,32420.0,50660.0
3200557449,4190.0,5790.0,17480.0,26040.0
3201343370,9290.0,40630.0,75800.0,89720.0
3202654532,930.0,3690.0,7160.0,12600.0
3203982934,-10.0,1250.0,1980.0,4700.0
3208435596,11810.0,38770.0,69660.0,129540.0
3211313187,330.0,1750.0,10720.0,31060.0
3212086807,730.0,130.0,-3620.0,-940.0
3212872967,2170.0,2230.0,1280.0,2960.0
3213931207,50.0,2870.0,4020.0,8280.0
3215515565,590.0,1270.0,180.0,-1900.0
3222842218,2110.0,5190.0,12040.0,31760.0
3224944508,1650.0,4910.0,8640.0,16180.0
3227317153,-350.0,-1110.0,2980.0,2100.0
3233066803,-110.0,-650.0,-1800.0,-2180.0
3233333534,10.0,-570.0,1480.0,9940.0
3239894787,370.0,570.0,-220.0,-1060.0
3250107474,70.0,890.0,1340.0,-6160.0
3254041998,-430.0,-1110.0,-2520.0,-3600.0
3254837969,4210.0,14810.0,28780.0,42480.0
3257959098,1590.0,4270.0,8420.0,22740.0
3261382544,-130.0,2610.0,2400.0,10120.0
3264536839,-170.0,-750.0,1620.0,4880.0
3267408391,-350.0,-1050.0,-2060.0,-3840.0
3269504675,1490.0,7070.0,6740.0,-760.0
3271875486,4830.0,8870.0,9120.0,34720.0
3274751424,-150.0,1390.0,1240.0,2120.0
3278931645,1130.0,4310.0,11640.0,28580.0
3289971657,2990.0,6310.0,8260.0,8020.0
3293090464,-210.0,-150.0,13400.0,43500.0
3294675558,1630.0,4470.0,9020.0,15660.0
3299660330,5530.0,7490.0,8340.0,13120.0
3303590915,690.0,5750.0,12080.0,27140.0
3305420185,-390.0,-1810.0,-2520.0,-1700.0
