고객ID,국민행복카드_1개월혜택,국민행복카드_3개월혜택,국민행복카드_6개월혜택,국민행복카드_12개월혜택
7621845500,29679.999999999996,66640.0,120120.0,201880.0
7855695312,6360.0,17120.0,29560.0,44440.0
8505815685,15440.0,43420.0,71520.0,112080.0
5791291255,12880.0,16920.0,20920.0,28300.0
6256092938,19599.999999999996,90080.0,198880.0,468400.0
4461195529,2719.9999999999995,11320.0,18800.0,32700.0
8080337355,19119.999999999996,72960.0,132480.0,247840.0
7465878805,11000.0,22320.0,32520.0,79700.0
2932373369,22879.999999999996,71300.0,187380.0,460100.0
5631382687,13360.0,40960.0,90980.0,176360.0
7752409492,3879.9999999999995,10560.0,21320.0,52480.0
6940001651,2719.9999999999995,9800.0,17160.0,24380.0
6362525221,13680.0,66400.0,132400.0,247780.0
8793125351,440.0,4480.0,9680.0,21980.0
6762284706,2999.9999999999995,12000.0,23000.0,40480.0
3816039541,6720.0,16820.0,30680.0,77480.0
5461014112,26239.999999999996,70800.0,89080.0,129200.0
5366617649,1000.0,2220.0,9300.0,17300.0
4626328704,660.0,15580.0,15580.0,21820.0
9529221776,2999.9999999999995,7560.0,26960.0,35500.0
8568721944,3319.9999999999995,9760.0,25980.0,40880.0
8413019218,3239.9999999999995,8120.0,15360.0,30180.0
9056037739,2040.0000000000005,6360.0,13880.0,28120.0
6271020108,18000.0,47920.0,78640.0,175620.0
6295152881,2839.9999999999995,18000.0,21280.0,40640.0
6945274673,3879.9999999999995,25880.0,44200.0,112400.0
7094671220,21119.999999999996,64240.0,88000.0,118420.0
7810856974,2000.0000000000005,9080.0,17000.0,53000.0
7546081773,6360.0,26600.0,46960.0,95000.0
7665877423,400.0,1960.0,6880.0,11540.0
7570195043,900.0,7300.0,10800.0,15940.0
7177240945,7080.0,14800.0,18440.0,20440.0
7278719052,2759.9999999999995,8680.0,15940.0,25220.0
4425783847,3559.9999999999995,5040.0,7400.0,13060.0
4255672826,8340.0,10340.0,16000.0,24280.0
8739633096,6180.0,72900.0,83080.0,141900.0
9672598957,19359.999999999996,46640.0,108720.0,198280.0
8020065757,14240.0,29180.0,59160.0,81080.0
5011155483,10000.0,24000.0,41980.0,88660.0
5830100588,3919.9999999999995,7320.0,10940.0,23560.0
8835065846,3439.9999999999995,6300.0,31180.0,70580.0
8701901253,960.0,2700.0,4880.0,9780.0
9946021621,2759.9999999999995,22760.0,53320.0,100740.0
9811546809,30079.999999999996,61360.0,116980.0,232040.0
9382146631,18559.999999999996,49120.0,73940.0,139220.0
7653326646,12000.0,36920.0,64920.0,118480.0
8154783625,3039.9999999999995,9080.0,16500.0,29860.0
6429371976,2959.9999999999995,9640.0,30160.0,69840.0
7012641827,15440.0,46560.0,83360.0,163240.0
7071626237,7080.0,21720.0,38980.0,52840.0
4333503950,10000.0,25000.0,37680.0,75420.0
6327114306,5000.0,10000.0,14100.0,28820.0
4996233021,16480.0,56240.0,95900.0,135480.0
4920984427,32079.999999999996,74400.0,128160.0,240880.0
8275892009,12800.0,37740.0,73480.0,135540.0
7411087997,2719.9999999999995,6620.0,18160.0,34380.0
3840944086,12720.0,38540.0,63880.0,110300.0
7054308624,16480.0,35120.0,53120.0,56720.0
5187850978,1000.0,2720.0,4900.0,17580.0
9328925714,6180.0,7540.0,10800.0,18420.0
7978896445,2999.9999999999995,30100.0,68260.0,109280.0
7452257010,800.0,4180.0,16060.0,31940.0
6925587749,2400.0,6600.0,14960.0,30080.0
6830190700,9500.0,16600.0,48100.0,83780.0
8945674725,640.0,6480.0,9660.0,14420.0
9077801474,19279.999999999996,62320.0,142080.0,204380.0
5195959887,8500.0,17600.0,30700.0,58640.0
5668087186,2000.0000000000005,6520.0,11880.0,28440.0
4230230100,6840.0,13840.0,27740.0,64300.0
5507667443,12640.0,32820.0,41820.0,42360.0
5206713305,7980.0,42300.0,43800.0,47240.0
8890884195,15360.0,60000.0,129440.0,248140.0
6378762665,12000.0,25000.0,43320.0,81420.0
6509834944,29999.999999999996,107760.0,116100.0,123760.0
7531670691,2400.0,11800.0,21680.0,41320.0
8146419490,24799.999999999996,58400.0,96460.0,190680.0
2583978049,10000.0,18500.0,46380.0,56680.0
4089722893,7320.0,13680.0,20840.0,38980.0
4027592792,29999.999999999996,61600.0,110800.0,205640.0
3106933896,2959.9999999999995,10160.0,58800.0,89540.0
5185487347,17520.0,50880.0,75400.0,120000.0
5561648943,17760.0,40060.0,71380.0,162600.0
5752236735,19999.999999999996,50000.0,92620.0,168580.0
3772013408,2879.9999999999995,16140.0,54240.0,76560.0
7244631231,5000.0,9520.0,19840.0,33920.0
9365620282,2479.9999999999995,9160.0,22920.0,44940.0
9525032018,29999.999999999996,43900.0,103900.0,209740.0
9532344822,2280.0,7440.0,23180.0,70360.0
9046601141,136480.0,246480.0,521600.0,812320.0
9839582555,19359.999999999996,45520.0,95840.0,161360.0
8142455487,10000.0,50000.0,88740.0,179220.0
7320117304,8000.0,19800.0,56660.0,126280.0
3293322595,10500.0,25900.0,31400.0,35680.0
9444029805,14240.0,18600.0,45140.0,54240.0
9057890121,12240.0,22020.0,76180.0,140540.0
8214025806,6720.0,11000.0,18960.0,44840.0
9892555791,45760.0,133280.0,221680.0,436080.0
8357690866,3559.9999999999995,22040.0,36260.0,72360.0
9303239112,5000.0,12500.0,29860.0,59300.0
7556846471,6660.0,22660.0,48880.0,83800.0
9061552866,15600.0,35460.0,57900.0,126140.0
8543022913,2959.9999999999995,8760.0,12900.0,14980.0
9266017512,8640.0,11260.0,18880.0,28500.0
9506915063,23919.999999999996,57520.0,97820.0,160240.0
7410037684,3159.9999999999995,8800.0,30200.0,64740.0
7491836817,6600.0,16480.0,51840.0,85200.0
5242112463,14880.0,50080.0,94220.0,180220.0
4276113468,5000.0,7000.0,17560.0,38960.0
8733353779,3439.9999999999995,24440.0,47520.0,118240.0
9236384463,2080.0000000000005,15640.0,34520.0,89540.0
9301422548,6180.0,16060.0,21040.0,37240.0
5819876413,2360.0,8880.0,30440.0,70380.0
9412043203,6000.0,12920.0,38500.0,80400.0
7384620635,6780.0,15780.0,24780.0,60580.0
7835497496,2999.9999999999995,19360.0,33340.0,49380.0
8190963176,8520.0,18160.0,45980.0,86700.0
6730049901,19999.999999999996,31960.0,37460.0,42460.0
6143086856,2000.0000000000005,19280.0,57640.0,101400.0
9279653220,23759.999999999996,50680.0,91040.0,164820.0
8701888890,8400.0,13360.0,15680.0,17940.0
8514718735,3799.9999999999995,17520.0,41000.0,113340.0
9490685687,920.0,6440.0,22040.0,30860.0
9479418911,23919.999999999996,99120.0,254960.0,555200.0
9462620736,3479.9999999999995,9680.0,19720.0,43300.0
9451083130,7000.0,10160.0,26160.0,44160.0
9384785000,2999.9999999999995,17500.0,37560.0,122060.0
9563030199,6300.0,16300.0,31280.0,73200.0
5483274613,14320.0,37100.0,95420.0,231420.0
5274874374,2280.0,5760.0,13160.0,27120.0
7535865151,17500.0,41020.0,54620.0,87180.0
7361285819,5000.0,21000.0,37860.0,114640.0
7390656566,7000.0,14320.0,24600.0,51040.0
7221030176,2499.9999999999995,8040.0,21020.0,32220.0
8188362422,2000.0000000000005,11740.0,15600.0,27680.0
8152703767,900.0,24900.0,90060.0,117160.0
7962892412,2519.9999999999995,8480.0,19960.0,42060.0
7919374501,17040.0,72240.0,159680.0,341600.0
7807453293,10000.0,24500.0,44500.0,100100.0
7743486751,10000.0,11280.0,16640.0,29300.0
7718043683,2000.0000000000005,4540.0,11000.0,14920.0
6710364769,680.0,2260.0,4820.0,16940.0
7115899068,2879.9999999999995,6540.0,12380.0,23120.0
6116627978,6120.0,21660.0,41940.0,82620.0
6365118475,6960.0,10360.0,12060.0,19560.0
4498416856,3479.9999999999995,11120.0,31920.0,72900.0
4582809976,7500.0,14860.0,18620.0,28160.0
7230488492,33680.0,66160.0,124880.0,229360.0
9343091958,7740.0,31840.0,80400.0,159520.0
7745324764,7740.0,27880.0,51320.0,79520.0
8173929747,3959.9999999999995,15360.0,41760.0,97260.0
7989641383,6960.0,10380.0,24800.0,45040.0
5950674198,2719.9999999999995,8200.0,24680.0,49160.0
5596544493,2240.0,3740.0,30620.0,42560.0
9476773490,2000.0000000000005,9000.0,13020.0,23480.0
8852104566,3159.9999999999995,6280.0,9200.0,135620.0
9238226254,2479.9999999999995,3940.0,10680.0,18660.0
8325962025,8640.0,15360.0,18820.0,52540.0
3856431880,2999.9999999999995,9000.0,16960.0,34700.0
3995871808,26959.999999999996,47380.0,53660.0,109580.0
8352188801,2000.0000000000005,10000.0,19000.0,39320.0
8971116204,2360.0,5420.0,13460.0,24200.0
5311585071,3399.9999999999995,12400.0,16460.0,34500.0
6612081233,3999.9999999999995,8160.0,18800.0,41440.0
7044103414,7260.0,16240.0,23720.0,58840.0
6323442427,12000.0,27760.0,53500.0,66140.0
8000398994,13280.0,42000.0,66060.0,91380.0
7886623973,28479.999999999996,63440.0,122000.0,214000.0
3810281420,5000.0,10040.0,19640.0,33880.0
4890821968,3499.9999999999995,6860.0,12320.0,21920.0
8072728831,7260.0,12620.0,25440.0,69360.0
8858384728,18639.999999999996,50640.0,108060.0,255580.0
5351672529,12880.0,31880.0,56040.0,110460.0
4577054974,27999.999999999996,76500.0,138700.0,216020.0
7070052040,18240.0,36420.0,48640.0,99060.0
7867491811,10000.0,19060.0,32780.0,32780.0
8714223001,1000.0,5840.0,19140.0,33800.0
5266227793,2999.9999999999995,11000.0,22000.0,41780.0
7214759048,2999.9999999999995,5600.0,7600.0,14540.0
6418072343,3879.9999999999995,34120.0,89800.0,181780.0
6582459305,39600.0,84800.0,153440.0,267600.0
3569627232,12720.0,20520.0,39880.0,73580.0
8179956909,14800.0,24020.0,32700.0,43200.0
9832520462,2080.0000000000005,5640.0,16740.0,27580.0
5918957015,60400.0,180640.0,383120.0,698080.0
7416074708,2000.0000000000005,8000.0,15000.0,24480.0
4760021317,3999.9999999999995,14280.0,30720.0,36520.0
7800637936,30799.999999999996,64800.0,141040.0,252240.0
5412498378,66160.0,134400.0,242480.0,415520.0
9291962872,920.0,15320.0,17100.0,26580.0
5802299921,19999.999999999996,65240.0,118740.0,207740.0
6454518096,7920.0,19420.0,35100.0,56560.0
7750032963,3239.9999999999995,9640.0,16960.0,35120.0
7891073607,3999.9999999999995,13620.0,13620.0,13620.0
7396676419,19999.999999999996,55000.0,127220.0,292300.0
9235097089,700.0,6020.0,7720.0,35080.0
8322055647,3519.9999999999995,18080.0,30960.0,46880.0
7108060350,16000.0,33440.0,59760.0,109840.0
6048213862,29199.999999999996,82720.0,138640.0,272640.0
6395532225,7620.0,10580.0,14960.0,35700.0
3978057863,15040.0,52800.0,103520.0,198240.0
4060888765,6720.0,27820.0,72220.0,126340.0
5233196486,2799.9999999999995,16800.0,37200.0,80500.0
7850712406,10000.0,45000.0,54840.0,104200.0
5695104809,5000.0,7860.0,19380.0,94360.0
5385508839,23519.999999999996,62000.0,74720.0,111960.0
8316786303,5000.0,12000.0,20480.0,35040.0
9801566347,41840.0,101280.0,214560.0,338480.0
6244826449,17520.0,33520.0,33520.0,48720.0
7944041099,6960.0,18700.0,25820.0,55040.0
6790319175,9500.0,46500.0,98740.0,186040.0
4638115718,26639.999999999996,97360.0,206880.0,414400.0
9255266844,560.0,2220.0,8760.0,44740.0
9548103157,9000.0,24820.0,37560.0,47600.0
9666583579,2999.9999999999995,4260.0,11660.0,20880.0
5139616447,640.0,2140.0,7760.0,34980.0
4316757519,9000.0,23000.0,41360.0,69000.0
4389085454,14160.0,30400.0,38460.0,60460.0
9579530715,16240.0,56880.0,105600.0,181640.0
6458719043,15120.0,19060.0,25080.0,56940.0
6334978654,23119.999999999996,53440.0,85920.0,161680.0
6708022790,3559.9999999999995,10560.0,23480.0,39520.0
7629980826,2280.0,8980.0,22760.0,45300.0
9004139731,680.0,2000.0,2520.0,3160.0
9026149153,8700.0,58460.0,89400.0,130480.0
8319667712,860.0,6460.0,19220.0,40320.0
8397810986,740.0,12440.0,47400.0,72320.0
8635294399,16320.0,31500.0,66620.0,153040.0
8727305326,2679.9999999999995,4580.0,10040.0,33280.0
8730724244,6120.0,22440.0,32240.0,71440.0
8761902061,2320.0,8240.0,16360.0,24980.0
5601509829,680.0,2260.0,4240.0,10160.0
5800746599,620.0,14980.0,48180.0,63720.0
6007839611,3499.9999999999995,12000.0,19900.0,39340.0
5389687339,8760.0,28260.0,77260.0,102840.0
4332725074,3519.9999999999995,13940.0,31180.0,119560.0
4379393887,7020.0,12460.0,13360.0,19140.0
8946729088,14720.0,40120.0,63700.0,113840.0
9256577736,12880.0,15700.0,19620.0,25500.0
9150944989,3639.9999999999995,11400.0,31380.0,110300.0
6700950789,2440.0,12340.0,22660.0,38540.0
7239922846,15440.0,54240.0,116800.0,220920.0
7089692160,3679.9999999999995,23560.0,33360.0,73900.0
8060159040,20879.999999999996,54160.0,114320.0,240600.0
6487034172,15500.0,60000.0,90000.0,164500.0
5500071465,16480.0,50320.0,106000.0,155120.0
5165835248,10000.0,15460.0,25600.0,37660.0
9159328200,16720.0,32720.0,50220.0,86800.0
9057891395,3679.9999999999995,12820.0,21300.0,74340.0
9769854959,8760.0,12400.0,30860.0,52920.0
7784902937,2559.9999999999995,16300.0,45340.0,56460.0
7068997515,19999.999999999996,50500.0,86900.0,175240.0
5721576154,6000.0,12520.0,24000.0,51440.0
9119232465,2040.0000000000005,12720.0,16960.0,29480.0
8932298460,2400.0,19400.0,42240.0,70320.0
8903484032,3279.9999999999995,18040.0,29580.0,56680.0
8979506439,5000.0,16500.0,60600.0,111460.0
8987370204,2400.0,5760.0,16360.0,39920.0
8903213162,7560.0,14360.0,30660.0,75680.0
8864943758,20959.999999999996,45920.0,79840.0,191480.0
8809619012,2919.9999999999995,5800.0,7540.0,10800.0
9120527872,8500.0,13220.0,28480.0,47960.0
9099303200,940.0,5380.0,12220.0,12220.0
9087494707,16640.0,27680.0,41280.0,41280.0
9088812992,15120.0,31680.0,50760.0,107320.0
9241117420,800.0,2600.0,12860.0,19800.0
9311629568,7320.0,34280.0,63140.0,134560.0
9311378285,3079.9999999999995,4580.0,13360.0,25800.0
9334709405,2120.0000000000005,7040.0,10000.0,21880.0
8750115171,13680.0,42240.0,88560.0,179200.0
8668849119,3439.9999999999995,13220.0,32200.0,68960.0
8591253191,2000.0000000000005,6400.0,11360.0,30600.0
8599389255,2799.9999999999995,8720.0,12740.0,20900.0
8501083043,2200.0000000000005,7160.0,16600.0,28980.0
8509750867,2959.9999999999995,8320.0,14400.0,43640.0
8451279928,18559.999999999996,49840.0,104640.0,205580.0
8403828618,7020.0,18640.0,31500.0,96620.0
8287967363,900.0,5420.0,9260.0,20960.0
8286138771,12400.0,35300.0,60620.0,84280.0
8284038641,7020.0,11380.0,23280.0,41820.0
8244458582,3039.9999999999995,7280.0,14700.0,36580.0
8247598231,2400.0,8600.0,15680.0,31360.0
8302655432,3159.9999999999995,9200.0,19200.0,38520.0
8352461556,2919.9999999999995,10160.0,14900.0,45360.0
8334347496,7080.0,22440.0,54000.0,106140.0
9819129800,3359.9999999999995,6800.0,12920.0,30880.0
9772750158,7620.0,22800.0,46820.0,75180.0
9742611483,660.0,4320.0,8960.0,19800.0
9737346097,3959.9999999999995,28580.0,82340.0,170780.0
9739702984,6180.0,11260.0,25080.0,90280.0
9710891034,620.0,2620.0,6620.0,14960.0
9702484951,3599.9999999999995,19200.0,38300.0,94060.0
9642722025,23439.999999999996,44000.0,81520.0,214840.0
9646124202,3879.9999999999995,18380.0,36000.0,78760.0
9605775204,6000.0,13560.0,28320.0,60500.0
9573243296,8700.0,13700.0,23300.0,59160.0
9458433163,2280.0,12460.0,16060.0,20840.0
9495411508,16000.0,20720.0,39400.0,83400.0
9426992684,800.0,8800.0,16080.0,30440.0
9365370185,8000.0,14480.0,31140.0,63260.0
9387655104,2320.0,8960.0,11960.0,54680.0
4851243300,2879.9999999999995,9880.0,23380.0,35940.0
9982459209,17440.0,38760.0,64860.0,110540.0
5145912631,2599.9999999999995,29880.0,54380.0,89720.0
5273567275,7000.0,10400.0,15640.0,34200.0
5188116362,20999.999999999996,53060.0,75340.0,199340.0
5328089545,2999.9999999999995,13500.0,32000.0,58880.0
5373701539,840.0,3840.0,13420.0,25160.0
5831924232,11500.0,23500.0,41540.0,70540.0
5532816481,3999.9999999999995,8280.0,17300.0,25460.0
5565078866,2000.0000000000005,15800.0,32300.0,89540.0
5621417742,12480.0,34860.0,55740.0,106140.0
6144660906,880.0,10320.0,36700.0,58860.0
6092249511,2000.0000000000005,14160.0,19720.0,32240.0
6413115610,2639.9999999999995,5840.0,28120.0,36680.0
6396081948,3279.9999999999995,13280.0,38880.0,110840.0
6392388188,3759.9999999999995,5600.0,14840.0,32560.0
6481259890,28879.999999999996,80480.0,147920.0,276080.0
6505117290,2320.0,5440.0,9620.0,19300.0
6631474965,6900.0,22500.0,43080.0,80840.0
6674201282,3799.9999999999995,28840.0,75560.0,144260.0
6772259933,8820.0,20420.0,38440.0,119000.0
6792969106,8100.0,12900.0,28520.0,36900.0
6831743723,17200.0,54960.0,91480.0,190560.0
6803697881,3079.9999999999995,12760.0,24640.0,61220.0
6857959719,7560.0,34180.0,69000.0,160760.0
7121172157,3239.9999999999995,14320.0,35860.0,58900.0
7030993509,14400.0,49120.0,110960.0,232160.0
7014725296,680.0,3840.0,13820.0,36440.0
6936864473,2999.9999999999995,10500.0,21860.0,30580.0
8078256332,2400.0,6680.0,15440.0,33600.0
8110223963,2599.9999999999995,9380.0,24380.0,64200.0
8230539912,6480.0,18580.0,43860.0,133800.0
8173156290,3039.9999999999995,11040.0,19480.0,37980.0
8178399286,2919.9999999999995,10680.0,14180.0,22160.0
7935639653,15120.0,49440.0,103920.0,213060.0
7762884853,3159.9999999999995,7080.0,10500.0,22180.0
7399019350,13360.0,32680.0,72260.0,120360.0
7393250396,2839.9999999999995,7220.0,14500.0,29300.0
7391431125,7500.0,22500.0,40580.0,51700.0
7367046404,1000.0,5240.0,13160.0,28240.0
7430210456,3479.9999999999995,12180.0,24640.0,42840.0
7498650687,10000.0,18800.0,32080.0,64620.0
7597488955,3999.9999999999995,5580.0,9760.0,15420.0
3365174220,6120.0,22680.0,31820.0,40120.0
3280226091,1000.0,9540.0,15460.0,22440.0
4596977455,2959.9999999999995,12500.0,19100.0,43060.0
5674654472,1000.0,7080.0,13080.0,29740.0
9418579799,44960.0,142400.0,252640.0,647200.0
8499508974,2440.0,6840.0,13200.0,23100.0
9353066751,14160.0,44240.0,90440.0,192360.0
8500561045,6660.0,18140.0,50640.0,80880.0
9084340078,15520.0,38620.0,94300.0,153220.0
5751726051,2919.9999999999995,9120.0,18160.0,38100.0
8163713724,29999.999999999996,42680.0,79160.0,140640.0
8103418814,31279.999999999996,86480.0,162160.0,288460.0
4566565653,130479.99999999999,385680.0,714720.0,1382320.0
7641257145,5000.0,10960.0,17920.0,26200.0
7640456275,30559.999999999996,45960.0,82620.0,184180.0
7728027632,6600.0,16180.0,39040.0,57580.0
7731423524,6480.0,34320.0,37760.0,93400.0
6326083933,14880.0,18080.0,75480.0,132660.0
8732805693,760.0,11760.0,14240.0,51800.0
8264890860,8220.0,11280.0,22380.0,75280.0
9214382640,3039.9999999999995,6420.0,18780.0,29000.0
9238749826,3879.9999999999995,6480.0,9660.0,16260.0
9299833634,14480.0,25180.0,48760.0,86500.0
9662388803,2999.9999999999995,15400.0,22680.0,25040.0
9649000362,2799.9999999999995,6260.0,11580.0,21820.0
5851850166,3879.9999999999995,11020.0,32440.0,56580.0
9825425479,600.0,3720.0,4160.0,7220.0
9054987072,19999.999999999996,80000.0,150000.0,293920.0
8421667108,6900.0,10820.0,14100.0,18760.0
7113550046,25279.999999999996,41540.0,71060.0,91020.0
6672645882,2679.9999999999995,11580.0,25720.0,59000.0
8315238134,16160.0,20680.0,26100.0,34640.0
5921597418,5000.0,15500.0,45000.0,66580.0
6009399597,21359.999999999996,74160.0,122080.0,249600.0
5441865189,3839.9999999999995,13640.0,35480.0,79440.0
5692990702,29999.999999999996,84820.0,156420.0,229000.0
5410664935,29999.999999999996,64320.0,111500.0,249000.0
5421678209,13920.0,22840.0,45020.0,109700.0
5238170615,9000.0,21120.0,37100.0,57600.0
5180248443,3999.9999999999995,10500.0,13000.0,16520.0
9478869001,8580.0,41060.0,78080.0,192880.0
9369302626,19999.999999999996,50000.0,57680.0,63920.0
9400771565,19279.999999999996,49360.0,95640.0,199880.0
9519504493,21359.999999999996,86720.0,159920.0,293000.0
9524758163,7260.0,29240.0,76900.0,158760.0
8921291842,38720.0,87640.0,151240.0,316360.0
9294841385,25679.999999999996,68480.0,136960.0,286320.0
